district,accessibility_score
Sangli,0.779919769
Kolhapur,0.715738582
Ahmednagar,0.634750829
Solapur,0.593017075
Pune,0.580953063
Sindhudurg,0.564915258
Dhule,0.516762696
Palghar,0.516442804
Jalgaon,0.503449719
Ratnagiri,0.496074022
Satara,0.478739922
Latur,0.446430639
Nashik,0.433888302
Osmanabad,0.432031077
Bhandara,0.404821359
Jalna,0.393332299
Aurangabad,0.393297156
Gondia,0.376374177
Raigad,0.355553231
Buldhana,0.340242277
Nanded,0.309885707
Nagpur,0.306203677
Thane,0.306039415
Beed,0.293947495
Nandurbar,0.292354557
Akola,0.285771658
Amravati,0.255164564
Chandrapur,0.219765037
Hingoli,0.192800127
Parbhani,0.189988319
Yavatmal,0.184604308
Wardha,0.165650191
Washim,0.146320313
Gadchiroli,0.103609682
